	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	case_orig	case_corr
0	1	1	0	4	3	0	0	4	4
1	1	1	2	2	3	0	0	8	4
2	1	0	0	3	5	0	0	8	8
3	1	1	0	1	3	0	0	8	6
4	2	1	0	0	2	0	0	7	8
5	2	0	0	1	7	0	0	7	0
6	2	0	0	1	7	0	0	7	0
7	1	1	0	1	2	0	0	0	8
8	1	0	0	1	7	0	0	7	8
9	2	0	0	1	7	0	0	7	0
10	2	0	0	1	7	1	0	7	0
11	1	1	2	2	2	0	0	5	5
12	1	1	0	1	2	0	0	7	8
13	1	1	0	1	2	0	0	7	8
14	0	1	0	1	3	1	0	6	1
15	1	1	2	1	3	1	0	8	8
16	1	1	2	1	3	1	0	8	8
17	1	1	2	1	3	1	0	8	8
18	2	1	0	1	2	0	0	4	6
19	0	1	2	3	0	0	0	5	6
20	2	1	2	3	2	0	0	6	0
21	2	1	1	2	3	1	0	0	8
22	2	1	0	1	3	0	0	6	6
23	2	1	0	1	3	0	0	5	6
24	2	1	0	0	3	0	0	6	0
25	1	0	2	2	7	0	0	0	0
26	2	0	0	2	5	0	0	7	8
27	2	0	2	1	6	0	0	9	3
28	2	1	0	0	3	1	0	3	2
29	1	1	0	0	3	1	0	0	0
30	1	1	1	1	3	1	0	1	6
31	1	1	0	0	2	0	0	7	8
32	1	1	0	1	3	0	0	7	8
33	0	1	1	2	2	0	0	7	5
34	1	0	0	2	7	0	0	7	8
35	2	0	2	1	6	1	0	9	3
36	2	1	1	1	3	0	0	4	4
37	2	1	0	1	3	0	0	5	0
38	1	1	0	2	3	0	0	0	8
39	1	1	0	1	3	0	0	7	8
40	1	0	2	0	7	0	0	8	0
41	0	0	2	0	7	1	0	3	2
42	1	1	0	3	3	1	0	5	5
43	0	1	0	3	2	0	0	7	5
44	1	1	0	3	3	0	0	7	8
45	0	0	0	1	7	0	0	3	2
46	0	0	0	1	7	0	0	3	2
47	0	0	0	1	7	0	0	3	2
48	0	1	0	1	3	0	0	3	2
49	0	1	0	1	3	0	0	5	6
50	1	1	0	1	2	0	0	4	4
51	1	1	0	1	2	0	0	4	4
52	1	1	0	1	2	0	0	0	4
53	1	1	0	1	3	0	0	4	8
54	2	0	0	1	6	0	0	9	3
55	0	1	0	1	7	0	0	3	2
56	1	1	0	1	7	0	0	0	8
57	1	0	0	1	7	0	0	7	8
58	1	0	0	0	7	0	0	8	0
59	1	0	0	0	7	0	0	8	0
60	1	0	0	0	7	0	0	8	0
61	1	0	0	0	7	0	0	8	0
62	1	0	0	0	7	0	0	8	0
63	1	0	0	0	7	0	0	8	0
64	1	0	0	0	7	0	0	8	0
65	1	0	0	0	7	0	0	8	0
66	1	0	0	0	7	1	0	8	0
67	1	0	0	0	7	1	0	8	0
68	1	0	0	0	7	1	0	0	0
69	0	1	0	0	7	1	0	2	2
70	1	0	0	0	7	0	0	8	0
71	1	0	0	0	7	0	0	0	0
72	1	0	0	0	7	0	0	8	0
73	1	0	0	0	7	0	0	8	0
74	1	0	0	0	7	0	0	8	0
75	1	0	0	0	7	0	0	8	0
76	1	0	0	0	7	0	0	8	0
77	1	0	0	0	7	0	0	8	0
78	1	0	0	0	7	0	0	8	0
79	0	0	0	0	5	0	0	7	2
80	0	0	0	0	5	1	0	7	2
81	0	0	2	0	7	1	0	3	2
82	0	0	0	0	7	1	0	3	2
83	1	0	0	0	7	0	0	8	0
84	1	0	0	0	7	0	0	8	0
85	1	0	0	0	7	0	0	8	0
86	1	0	0	0	7	0	0	8	0
87	1	0	0	0	7	0	0	0	0
88	0	0	0	0	7	0	0	3	2
89	0	0	0	0	7	0	0	3	2
90	1	0	0	0	7	1	0	8	0
91	1	0	0	0	7	1	0	8	0
92	1	0	0	0	7	1	0	8	0
93	0	0	0	1	7	0	0	3	2
94	0	0	0	1	7	0	0	3	2
95	0	0	0	1	7	0	0	3	2
96	0	0	0	1	7	0	0	3	2
97	0	0	0	1	7	0	0	3	2
98	2	0	0	1	5	0	0	7	8
99	1	0	0	1	7	0	0	0	0
100	2	1	0	1	3	1	0	7	4
101	1	1	0	2	3	0	0	0	0
102	2	1	0	0	3	1	0	7	8
103	2	1	2	1	2	1	0	5	5
104	2	0	0	1	7	0	0	7	8
105	2	0	1	1	5	0	0	0	0
106	1	1	0	1	7	0	0	0	0
107	1	0	2	1	7	0	0	0	0
108	2	0	0	1	5	0	0	0	0
109	1	1	2	1	3	0	0	0	8
110	1	1	0	2	3	0	0	0	0
111	2	0	1	1	7	0	0	7	8
112	0	0	2	1	7	0	0	3	2
113	0	0	2	1	7	0	0	3	2
114	0	0	2	1	7	0	0	3	2
115	2	1	2	1	3	0	0	7	5
116	2	1	0	1	3	0	0	7	5
117	1	0	0	1	2	0	0	5	5
118	2	0	1	1	5	0	0	7	8
119	2	1	1	1	3	0	0	0	0
120	2	1	0	0	3	0	0	4	4
121	1	1	0	0	3	0	0	0	0
122	1	1	2	0	3	0	0	8	1
123	2	1	0	0	3	0	0	8	4
124	2	1	0	0	3	0	0	0	0
125	2	1	0	0	3	0	0	5	5
126	0	1	2	0	3	0	0	6	6
127	2	1	0	0	3	0	0	0	0
128	0	1	2	0	3	0	0	6	6
129	2	1	0	0	3	0	0	5	5
130	0	1	2	0	3	0	0	5	6
131	1	1	1	2	3	0	0	1	6
132	2	1	0	0	3	0	0	8	8
133	2	1	0	0	3	0	0	7	8
134	1	1	2	1	3	1	0	3	2
135	0	1	1	0	3	0	0	4	0
136	1	1	0	0	2	1	0	8	8
137	2	1	0	0	3	1	0	0	0
138	1	1	0	0	2	0	0	8	8
139	2	1	0	0	3	0	0	7	8
140	1	1	0	0	2	0	0	7	8
141	1	1	0	0	2	0	0	5	1
142	1	1	0	0	3	0	0	1	6
143	1	1	0	0	3	0	0	8	6
144	1	1	0	0	3	0	0	8	6
145	1	1	0	0	3	0	0	1	6
146	2	0	0	0	7	1	0	7	0
147	1	1	0	0	3	0	0	0	4
148	1	1	0	0	3	0	0	8	5
149	1	1	0	0	3	0	0	8	5
150	0	1	0	0	3	1	0	7	0
151	2	0	0	0	5	1	0	7	8
152	0	1	2	0	3	0	0	6	6
153	2	0	2	0	7	0	0	5	0
154	2	1	0	0	3	1	0	7	0
155	2	1	0	0	3	0	0	5	6
156	0	1	0	0	3	1	0	0	2
157	2	1	0	0	3	0	0	0	5
158	1	1	2	1	2	0	0	5	8
159	1	0	0	1	7	0	0	8	8
160	2	1	0	1	2	0	0	7	4
161	1	1	0	1	3	0	0	8	8
162	2	1	0	1	2	0	0	8	4
163	1	1	0	1	2	0	0	8	8
164	2	0	0	1	6	0	0	9	3
165	2	0	0	1	6	0	0	9	3
166	2	1	0	1	2	0	0	4	4
167	2	1	0	1	2	0	0	8	4
168	1	1	0	1	2	0	0	8	8
169	2	0	0	1	7	0	0	7	8
170	2	0	0	1	7	0	0	7	8
171	2	0	0	1	7	0	0	7	8
172	2	0	0	1	7	0	0	7	8
173	1	0	0	1	7	0	0	7	8
174	2	0	0	1	7	1	0	7	8
175	2	0	0	1	5	0	0	7	8
176	2	0	0	1	5	0	0	7	8
177	1	0	0	1	7	1	0	8	8
178	1	1	2	1	3	0	0	8	6
179	1	1	0	1	3	0	0	6	6
180	1	1	0	1	3	1	0	8	4
181	1	1	0	1	2	1	0	5	5
182	1	1	0	1	3	1	0	4	4
183	1	1	0	1	3	1	0	5	5
184	1	1	0	1	2	1	0	5	5
185	1	1	0	1	2	1	0	5	0
186	1	1	0	1	3	1	0	8	0
187	1	0	2	1	7	0	0	8	0
188	1	1	2	1	3	0	0	8	1
189	1	1	0	1	3	0	0	8	8
190	1	1	2	1	3	1	0	8	8
191	1	1	0	1	2	0	0	8	6
192	2	0	0	1	7	0	0	7	0
193	1	1	2	1	2	0	0	5	8
194	1	1	2	1	2	0	0	5	8
195	1	1	2	1	2	0	0	8	8
196	2	0	0	1	6	0	0	9	3
197	1	1	0	1	2	0	0	7	8
198	1	1	0	1	2	0	0	5	8
199	1	1	0	1	2	0	0	5	5
200	1	1	0	1	2	0	0	5	4
201	2	1	0	1	2	0	0	7	4
202	2	1	0	1	2	0	0	7	4
203	2	1	0	1	2	0	0	7	4
204	1	1	0	1	2	0	0	7	8
205	2	0	2	1	6	0	0	9	3
206	1	1	0	1	2	0	0	5	0
207	2	0	2	1	6	0	0	9	3
208	1	1	0	1	3	0	0	6	6
209	1	1	0	1	2	1	0	8	6
210	1	1	0	1	3	0	0	0	8
211	2	1	0	1	3	0	0	6	8
212	2	1	0	1	3	1	0	5	5
213	2	1	2	1	3	1	0	6	8
214	0	1	1	1	3	0	0	7	0
215	0	1	1	1	3	0	0	7	0
216	0	1	1	1	3	0	0	7	0
217	1	1	0	1	2	0	0	7	8
218	2	0	0	1	6	0	0	9	3
219	1	1	0	1	2	0	0	0	8
220	2	1	0	1	3	1	0	7	4
221	0	0	2	1	3	1	0	3	2
222	2	1	0	1	3	0	0	0	0
223	0	0	2	1	7	1	0	7	2
224	2	0	0	1	6	0	0	9	3
225	2	0	0	1	7	0	0	8	5
226	2	0	0	1	7	0	0	8	5
227	2	1	0	1	3	0	0	4	0
228	2	0	0	1	7	0	0	8	5
229	0	1	0	1	2	0	0	8	5
230	0	1	0	1	3	0	0	8	1
231	0	1	0	1	3	0	0	5	1
232	2	1	0	1	3	0	0	8	0
233	2	1	2	1	3	1	0	5	5
234	2	1	2	1	3	0	0	5	6
235	0	1	0	1	2	0	0	8	5
236	0	1	0	1	2	0	0	5	5
237	2	1	0	1	3	0	0	5	0
238	2	0	2	1	6	0	0	9	3
239	0	1	0	1	2	0	0	8	5
240	1	0	2	1	7	0	0	0	0
241	1	1	0	1	2	0	0	7	8
242	2	0	2	1	6	0	0	9	3
243	2	1	0	1	3	1	0	5	0
244	2	0	2	1	6	0	0	9	3
245	2	1	2	1	3	0	0	5	4
246	2	1	0	1	2	1	0	8	5
247	0	1	0	1	2	0	0	8	5
248	2	1	0	1	3	0	0	0	5
249	2	0	0	1	6	0	0	9	3
250	2	1	0	1	3	0	0	8	5
251	2	0	0	1	6	0	0	9	3
252	2	1	0	1	3	0	0	0	0
253	2	1	0	1	3	0	0	0	0
254	0	1	0	1	2	1	0	5	1
255	2	1	0	1	3	0	0	7	0
256	2	1	0	1	2	0	0	5	5
257	2	1	0	1	3	0	0	7	4
258	2	1	0	1	3	0	0	0	0
259	2	0	0	1	7	0	0	7	8
260	2	1	0	1	3	1	0	4	4
261	2	0	0	1	5	0	0	7	8
262	2	1	0	1	3	0	0	0	0
263	2	1	1	1	3	0	0	7	8
264	2	0	0	1	5	0	0	7	8
265	2	1	1	1	3	0	0	0	0
266	2	1	0	1	3	0	0	7	0
267	2	1	0	1	3	0	0	7	0
268	2	0	0	1	7	0	0	8	5
269	2	1	0	1	3	0	0	0	0
270	2	1	0	1	2	0	0	7	8
271	1	1	0	1	3	0	0	0	0
272	2	1	1	1	3	0	0	7	0
273	2	0	0	1	5	1	0	7	8
274	2	1	0	1	3	0	0	7	8
275	0	1	1	1	3	0	0	7	0
276	0	1	0	1	2	1	0	8	0
277	0	1	1	1	3	0	0	7	0
278	2	1	0	1	2	0	0	7	4
279	0	1	1	1	3	0	0	4	0
280	0	1	1	1	3	0	0	4	0
281	0	1	0	1	2	0	0	5	5
282	2	1	0	1	3	0	0	8	0
283	2	0	0	1	7	0	0	8	5
284	1	1	2	1	2	0	0	5	8
285	2	0	0	1	6	0	0	9	10
286	1	1	2	1	2	0	0	5	8
287	2	0	0	1	6	0	0	9	3
288	1	1	0	1	2	0	0	7	8
289	0	1	0	1	3	0	0	6	6
290	1	0	2	1	7	0	0	8	0
291	2	0	0	1	7	0	0	0	5
292	2	1	0	1	3	1	0	7	4
293	2	0	0	1	7	0	0	0	0
294	1	1	2	1	2	0	0	5	4
295	2	1	0	1	0	0	0	5	5
296	2	1	2	1	3	1	0	6	8
297	1	1	0	2	3	0	0	0	0
298	1	1	0	2	3	0	0	7	8
299	1	1	0	2	3	0	0	0	6
300	1	1	2	2	3	0	0	0	0
301	1	1	2	2	3	0	0	0	0
302	2	1	0	2	3	0	0	5	4
303	2	1	2	2	2	0	0	7	8
304	1	1	0	2	3	0	0	8	1
305	1	0	2	2	7	0	0	8	0
306	1	1	2	2	3	1	0	0	8
307	2	1	0	2	3	1	0	6	0
308	2	1	0	2	3	0	0	7	8
309	1	1	2	2	3	0	0	0	8
310	1	1	0	2	3	0	0	5	8
311	2	0	0	2	5	0	0	7	8
312	2	0	0	2	5	0	0	7	8
313	2	0	0	2	5	0	0	7	8
314	2	1	0	2	3	0	0	7	8
315	2	0	0	2	7	0	0	7	8
316	2	0	0	2	7	1	0	7	8
317	2	1	0	2	3	0	0	7	8
318	2	1	0	2	3	0	0	5	5
319	1	1	1	2	3	0	0	0	8
320	1	1	0	2	3	1	0	6	5
321	1	1	0	2	3	0	0	5	5
322	2	0	0	2	3	0	0	6	5
323	2	1	0	2	3	1	0	5	5
324	2	1	0	2	3	0	0	5	4
325	2	1	0	2	2	0	0	5	5
326	0	1	2	2	3	0	0	6	6
327	0	1	0	2	3	0	0	6	6
328	0	1	1	2	3	0	0	7	0
329	0	1	0	2	3	1	0	6	6
330	1	1	0	2	3	1	0	8	8
331	1	1	0	2	3	0	0	5	5
332	0	1	0	2	3	0	0	7	0
333	2	0	0	2	5	1	0	7	8
334	0	1	0	2	3	0	0	7	4
335	2	1	0	2	2	0	0	5	4
336	2	1	0	2	3	0	0	7	4
337	2	1	0	2	3	1	0	5	5
338	2	1	0	2	2	1	0	7	4
339	2	1	2	2	2	0	0	5	4
340	2	1	0	2	3	0	0	7	4
341	0	0	2	2	7	0	0	3	2
342	2	0	0	2	5	0	0	7	5
343	0	1	2	2	3	0	0	4	4
344	0	1	0	2	2	1	0	5	5
345	0	1	2	2	3	0	0	7	6
346	2	1	0	2	5	0	0	0	8
347	2	1	0	2	3	0	0	6	4
348	2	1	0	2	1	0	0	7	5
349	2	1	0	2	3	0	0	7	8
350	2	1	0	2	3	0	0	7	8
351	2	0	0	2	7	0	0	0	0
352	1	1	2	2	2	0	0	5	5
353	2	1	0	2	3	0	0	0	0
354	2	1	0	2	3	0	0	0	0
355	2	0	0	2	5	0	0	7	8
356	2	1	0	2	2	0	0	7	8
357	2	1	1	2	3	0	0	0	8
358	0	1	0	2	3	0	0	5	6
359	2	1	2	2	3	0	0	4	5
360	0	1	0	2	3	0	0	4	6
361	2	0	0	2	2	0	0	5	4
362	2	1	0	2	2	1	0	7	4
363	2	1	0	2	3	0	0	0	0
364	1	1	0	3	3	0	0	7	8
365	1	1	2	3	3	0	0	8	6
366	1	1	2	3	3	0	0	8	6
367	1	1	0	3	2	0	0	3	6
368	0	1	0	3	3	0	0	3	2
369	2	1	2	3	3	0	0	5	8
370	2	1	0	3	3	1	0	5	6
371	2	1	0	3	3	1	0	6	5
372	1	1	0	4	3	0	0	4	4
373	1	1	0	4	3	0	0	4	0
374	1	1	0	4	3	0	0	4	4
375	1	0	0	4	5	0	0	7	8
376	1	1	0	4	3	0	0	7	8
377	1	0	0	4	5	0	0	7	8
378	1	1	0	4	3	0	0	6	5
379	1	1	0	4	3	0	0	4	8
380	2	0	0	4	5	0	0	7	8
381	0	1	0	4	3	0	0	5	9
382	1	1	0	4	3	0	0	7	8
383	2	1	0	4	3	0	0	7	4
384	2	1	0	0	3	0	0	0	0
385	1	1	0	4	3	1	1	5	8
386	1	1	0	4	2	1	1	7	8
387	0	1	0	4	2	1	1	5	5
388	1	1	2	4	2	1	1	5	8
389	1	1	0	4	2	1	1	5	4
390	1	1	2	4	3	1	1	0	8
391	0	1	1	4	3	0	1	4	4
392	2	1	2	4	3	0	1	0	4
393	1	1	0	2	3	0	1	5	8
394	1	0	0	4	7	1	1	0	0
395	1	0	0	4	7	1	1	0	0
396	1	0	0	4	7	1	1	0	0
397	1	1	0	3	3	1	1	5	5
398	0	0	2	4	0	1	1	8	7
399	0	1	0	4	0	1	1	0	6
400	0	1	0	4	3	1	1	5	6
401	0	1	2	4	3	1	1	5	5
402	1	1	0	5	2	0	1	5	5
403	2	0	1	4	5	0	1	7	8
404	2	0	1	4	5	0	1	7	8
405	1	1	0	4	3	1	1	7	8
406	2	1	1	3	3	1	1	6	8
407	2	1	0	3	3	1	1	4	8
408	1	0	0	5	2	0	1	5	5
409	2	0	0	4	5	0	1	7	8
410	2	1	0	4	3	0	1	5	5
411	2	0	0	4	5	1	1	7	8
412	1	0	2	4	7	0	1	8	0
413	1	1	0	4	3	0	1	7	8
414	1	1	1	4	3	0	1	6	8
415	1	1	0	4	3	0	1	8	0
416	1	1	0	4	3	1	1	4	8
417	1	1	2	4	3	0	1	8	8
418	1	1	0	4	3	1	1	6	6
419	1	1	0	4	3	0	1	7	8
420	0	1	0	4	3	1	1	7	0
421	0	1	0	4	3	1	1	5	0
422	2	1	0	4	3	0	1	7	4
423	2	0	0	5	7	1	1	5	5
424	2	0	0	5	7	1	1	5	5
425	2	1	0	5	3	0	1	7	8
426	2	1	0	4	3	0	1	0	0
427	2	0	0	4	5	0	1	7	8
428	2	0	0	4	5	0	1	7	8
429	2	0	0	5	5	0	1	7	8
430	2	0	0	5	4	0	1	5	4
431	2	0	0	4	4	0	1	5	4
432	2	0	0	4	4	0	1	5	4
433	0	1	0	4	3	0	1	4	4
434	0	1	1	4	3	0	1	4	4
435	0	1	2	4	3	1	1	5	4
436	2	0	0	4	5	1	1	7	6
437	1	1	0	5	3	0	1	7	8
438	1	1	0	5	3	0	1	8	5
439	1	0	0	5	5	0	1	7	8
440	1	1	0	5	2	0	1	5	8
